"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19165","Shelby County, Iowa","4983","139","138","59","190","81","214","69","257","99","152","63","231","87","240","73","205","65","151","47","512","138","351","91","627","112","548","133","335","70","381","105","451","116",
"0500000US19167","Sioux County, Iowa","12576","185","478","148","265","98","320","120","333","128","535","210","253","91","375","108","312","107","499","116","626","146","1341","237","2089","216","1801","266","1012","205","1105","187","1232","184",
"0500000US19169","Story County, Iowa","38708","562","2471","417","1640","324","1821","369","1172","246","1235","259","1240","247","1631","293","1334","264","1580","320","2651","383","4069","586","5055","540","3523","484","2665","326","3149","357","3472","389",
"0500000US19171","Tama County, Iowa","6731","127","310","77","301","88","293","72","211","56","257","76","239","75","199","55","260","67","297","81","610","104","792","121","1040","133","726","115","499","97","432","94","265","73",
"0500000US19173","Taylor County, Iowa","2471","88","90","31","115","37","64","23","117","43","82","34","95","29","145","46","88","30","129","46","221","61","231","50","390","64","279","57","142","44","159","52","124","37",
"0500000US19175","Union County, Iowa","5055","185","236","99","185","79","301","138","188","89","338","116","150","57","372","97","143","58","276","91","485","106","501","120","679","143","447","101","261","80","346","125","147","57",
"0500000US19177","Van Buren County, Iowa","2898","126","165","58","151","50","88","35","197","75","125","46","79","35","157","46","123","51","94","39","264","70","336","76","356","80","297","76","225","80","124","48","117","42",
"0500000US19179","Wapello County, Iowa","14088","320","808","218","697","181","537","187","666","159","633","212","512","152","443","116","624","195","644","161","1476","254","1555","271","1872","273","1141","212","866","225","1055","222","559","161",
"0500000US19181","Warren County, Iowa","20219","309","532","163","435","143","381","137","378","123","604","171","615","206","579","144","775","159","498","128","1507","243","1638","259","2858","348","2719","326","2037","283","2473","283","2190","238",
"0500000US19183","Washington County, Iowa","9048","160","281","90","202","69","286","104","312","96","331","106","281","83","392","120","365","133","495","129","781","164","1044","184","1297","189","1255","205","648","140","493","109","585","126",
"0500000US19185","Wayne County, Iowa","2554","91","104","36","104","37","121","41","97","35","85","30","85","30","220","66","143","47","129","42","213","53","225","46","398","80","266","65","102","35","109","51","153","58",
"0500000US19187","Webster County, Iowa","15641","265","809","204","562","167","654","139","841","213","631","170","688","194","786","192","524","145","511","140","948","183","1790","272","2510","378","1607","270","973","193","1043","203","764","136",
"0500000US19189","Winnebago County, Iowa","4591","129","193","71","182","88","241","105","159","54","232","99","184","67","86","38","215","72","222","69","488","135","398","98","722","139","472","113","333","92","202","68","262","88",
"0500000US19191","Winneshiek County, Iowa","8197","191","269","135","245","80","259","94","243","82","272","109","310","113","437","114","273","78","289","85","702","186","775","170","1301","210","1027","174","629","121","548","95","618","147",
"0500000US19193","Woodbury County, Iowa","40503","413","2067","334","1587","387","1735","347","1540","277","1479","279","1804","329","1448","268","1606","312","1582","289","3110","428","3582","480","5026","446","4949","476","3468","416","2869","321","2651","423",
"0500000US19195","Worth County, Iowa","3195","99","67","28","103","41","102","54","130","50","182","72","67","28","157","50","133","53","106","46","202","55","323","67","475","82","416","82","222","62","371","79","139","43",
"0500000US19197","Wright County, Iowa","5352","170","190","98","97","44","274","123","191","63","324","125","239","68","214","87","305","92","205","82","490","122","533","117","854","138","365","78","344","88","448","106","279","84",
"860Z200US78940","ZCTA5 78940","934","138","51","30","0","15","35","17","25","14","31","19","9","8","35","20","7","9","43","34","81","39","83","41","142","72","163","97","54","28","80","46","95","34",
